page_id,url,link_count,form_count,media_count,text_length,dom_depth,dom_nodes,has_screenshot,website
1,https://www.bpb.de/,184,0,0,17373,16,2235,0,A_bpb
2,https://www.bpb.de/die-bpb/ueber-uns/informationen-in-leichter-sprache/,102,0,0,2425,15,555,0,A_bpb
3,https://www.bpb.de/die-bpb/ueber-uns/gebaerdensprache/,105,0,0,3709,15,645,0,A_bpb
4,https://www.bpb.de/die-bpb/ueber-uns/federal-agency-for-civic-education/,122,0,0,3726,15,654,0,A_bpb
5,https://www.bpb.de/shop/zeitschriften/apuz/,114,0,0,2703,15,685,0,A_bpb
6,https://www.bpb.de/shop/zeitschriften/izpb/,106,0,0,2111,15,574,0,A_bpb
7,https://www.bpb.de/themen/politisches-system/politik-einfach-fuer-alle/,261,0,0,10436,16,1084,0,A_bpb
8,https://www.bpb.de/themen/deutschlandarchiv/,1187,0,0,54453,17,4657,0,A_bpb
9,https://www.bpb.de/shop/zeitschriften/apuz/228/aus-politik-und-zeitgeschichte-alt/,114,0,0,2703,15,685,0,A_bpb
10,https://www.bpb.de/shop/zeitschriften/izpb/229/informationen-zur-politischen-bildung-alt/,106,0,0,2111,15,574,0,A_bpb
11,https://www.bpb.de/themen/,119,0,0,1452,15,557,0,A_bpb
12,https://www.bpb.de/mediathek/,240,0,0,21444,15,2578,0,A_bpb
13,https://www.bpb.de/shop/,229,0,0,2445,16,4733,0,A_bpb
14,https://www.bpb.de/lernen/,293,0,0,43691,15,2841,0,A_bpb
15,https://www.bpb.de/veranstaltungen/,112,0,0,5335,15,743,0,A_bpb
16,https://www.bpb.de/kurz-knapp/,177,0,0,19100,15,1480,0,A_bpb
17,https://www.bpb.de/die-bpb/,237,0,0,32129,15,2011,0,A_bpb
18,https://www.bpb.de/merkliste/,97,0,0,1258,15,521,0,A_bpb
19,https://www.bpb.de/shop/warenkorb/?status=shoppingCard,103,0,0,1270,15,805,0,A_bpb
20,https://www.bpb.de/die-bpb/ueber-uns/service/impressum/,123,0,0,2919,16,608,0,A_bpb
1,https://www.hs-rm.de/,244,1,17,12218,14,1107,0,B_hsrm
2,https://www.hs-rm.de/studium/vor-dem-studium,270,1,21,18333,18,1376,0,B_hsrm
3,https://www.hs-rm.de/kooperationen,241,0,15,7991,20,979,0,B_hsrm
4,https://www.hs-rm.de/presse-und-oeffentlichkeit,238,0,15,7885,19,1027,0,B_hsrm
5,https://www.hs-rm.de/architektur-und-bauingenieurwesen,167,0,24,6879,14,905,0,B_hsrm
6,https://www.hs-rm.de/design-informatik-medien,133,0,14,5359,14,639,0,B_hsrm
7,https://www.hs-rm.de/ingenieurwissenschaften,156,0,14,6827,19,751,0,B_hsrm
8,https://www.hs-rm.de/sozialwesen,149,0,35,9432,17,1107,0,B_hsrm
9,https://www.hs-rm.de/wiesbaden-business-school,170,0,34,9093,16,1064,0,B_hsrm
10,https://www.hs-rm.de/login,227,1,9,5852,14,855,0,B_hsrm
11,https://www.hs-rm.de/suche,227,1,9,5651,14,822,0,B_hsrm
12,https://www.hs-rm.de/en/,190,1,16,11584,14,985,0,B_hsrm
13,https://www.hs-rm.de/studium,250,1,20,13262,19,1135,0,B_hsrm
14,https://www.hs-rm.de/studium/vor-dem-studium/studienangebot,252,2,9,15322,14,1129,0,B_hsrm
15,https://www.hs-rm.de/studium/vor-dem-studium/studienorientierung,244,1,22,11518,14,1099,0,B_hsrm
1,https://www.wiesbaden.de/,59,0,1,1696,19,703,0,C_wiesbaden
2,https://www.wiesbaden.de/rathaus/karriereportal/,44,0,1,1550,17,565,0,C_wiesbaden
3,https://www.wiesbaden.de/freizeit/veranstaltungskalender/veranstaltungssuche,49,0,0,1485,15,522,0,C_wiesbaden
4,https://www.wiesbaden.de/tourismus/kongresse-und-tagungen,52,0,0,2350,18,603,0,C_wiesbaden
5,https://www.wiesbaden.de/tourismus/,56,0,5,2467,20,594,0,C_wiesbaden
6,https://www.wiesbaden.de/freizeit/botschafter/sogesehen,46,0,1,2286,17,556,0,C_wiesbaden
7,https://www.wiesbaden.de/vv/produkte/31/personalausweis,108,0,0,9721,21,1191,0,C_wiesbaden
8,https://www.wiesbaden.de/vv/produkte/31/Wunschkennzeichen-reservieren,55,0,0,2501,19,677,0,C_wiesbaden
9,https://www.wiesbaden.de/vv/produkte/34/Online-Anhoerung,52,0,0,2585,19,591,0,C_wiesbaden
10,https://www.wiesbaden.de/vv/produkte/31/Urkunden-bestellen,61,0,0,2466,19,684,0,C_wiesbaden
11,https://www.wiesbaden.de/vv/,69,0,0,1913,21,722,0,C_wiesbaden
12,https://www.wiesbaden.de/leben-wohnen/stadtportraet/daten-fakten/wi-daten-fakten,52,0,1,2198,18,612,0,C_wiesbaden
